year,month,day,Population,GDP,Renewable_energy,Price,Gas Consumption
2022,July,31,448911666.6666667,17347798158940.996,23.6575,204.125,153.6
2022,July,30,448911666.6666667,17347798158940.996,23.6575,198.25,148.7
2022,July,29,448911666.6666667,17347798158940.996,23.6575,192.375,352.7
2022,July,28,448911666.6666667,17347798158940.996,23.6575,200.35,371.9
2022,July,27,448911666.6666667,17347798158940.996,23.6575,206.985,431.4
2022,July,26,448911666.6666667,17347798158940.996,23.6575,202.91,276.1
2022,July,25,448911666.6666667,17347798158940.996,23.6575,179.9,217.9
2022,July,24,448911666.6666667,17347798158940.996,23.6575,174.45000000000002,81.0
2022,July,23,448911666.6666667,17347798158940.996,23.6575,169.0,159.5
2022,July,22,448911666.6666667,17347798158940.996,23.6575,163.55,502.6
2022,July,21,448911666.6666667,17347798158940.996,23.6575,159.075,889.7
2022,July,20,448911666.6666667,17347798158940.996,23.6575,161.05,985.4
2022,July,19,448911666.6666667,17347798158940.996,23.6575,160.41,971.7
2022,July,18,448911666.6666667,17347798158940.996,23.6575,162.565,859.7
2022,July,17,448911666.6666667,17347798158940.996,23.6575,163.05,519.4
2022,July,16,448911666.6666667,17347798158940.996,23.6575,163.535,603.5
2022,July,15,448911666.6666667,17347798158940.996,23.6575,164.02,928.5
2022,July,14,448911666.6666667,17347798158940.996,23.6575,179.125,791.3
2022,July,13,448911666.6666667,17347798158940.996,23.6575,184.375,905.6
2022,July,12,448911666.6666667,17347798158940.996,23.6575,177.355,1228.4
2022,July,11,448911666.6666667,17347798158940.996,23.6575,168.385,787.1
2022,July,10,448911666.6666667,17347798158940.996,23.6575,171.60999999999999,178.9
2022,July,9,448911666.6666667,17347798158940.996,23.6575,174.835,173.9
2022,July,8,448911666.6666667,17347798158940.996,23.6575,178.06,420.0
2022,July,7,448911666.6666667,17347798158940.996,23.6575,185.715,516.7
2022,July,6,448911666.6666667,17347798158940.996,23.6575,173.28,366.3
2022,July,5,448911666.6666667,17347798158940.996,23.6575,166.67,272.6
2022,July,4,448911666.6666667,17347798158940.996,23.6575,163.22125,261.4
2022,July,3,448911666.6666667,17347798158940.996,23.6575,159.77249999999998,230.9
2022,July,2,448911666.6666667,17347798158940.996,23.6575,156.32375,296.5
2022,July,1,448911666.6666667,17347798158940.996,23.6575,152.875,362.5
2022,June,30,448610000.0,17310772813994.973,23.575,148.88,758.1
2022,June,29,448610000.0,17310772813994.973,23.575,141.645,558.8
2022,June,28,448610000.0,17310772813994.973,23.575,132.215,460.1
2022,June,27,448610000.0,17310772813994.973,23.575,132.54,508.4
2022,June,26,448610000.0,17310772813994.973,23.575,132.24666666666667,123.9
2022,June,25,448610000.0,17310772813994.973,23.575,131.95333333333332,131.7
2022,June,24,448610000.0,17310772813994.973,23.575,131.66,223.1
2022,June,23,448610000.0,17310772813994.973,23.575,135.425,245.2
2022,June,22,448610000.0,17310772813994.973,23.575,129.33,349.8
2022,June,21,448610000.0,17310772813994.973,23.575,126.99,375.5
2022,June,20,448610000.0,17310772813994.973,23.575,124.88749999999999,398.9
2022,June,19,448610000.0,17310772813994.973,23.575,122.785,207.4
2022,June,18,448610000.0,17310772813994.973,23.575,120.6825,226.8
2022,June,17,448610000.0,17310772813994.973,23.575,118.58,203.3
2022,June,16,448610000.0,17310772813994.973,23.575,124.905,266.6
2022,June,15,448610000.0,17310772813994.973,23.575,119.81,278.7
2022,June,14,448610000.0,17310772813994.973,23.575,99.895,392.0
2022,June,13,448610000.0,17310772813994.973,23.575,87.375,224.1
2022,June,12,448610000.0,17310772813994.973,23.575,87.19833333333334,66.6
2022,June,11,448610000.0,17310772813994.973,23.575,87.02166666666666,67.6
2022,June,10,448610000.0,17310772813994.973,23.575,86.845,622.7
2022,June,9,448610000.0,17310772813994.973,23.575,88.595,889.2
2022,June,8,448610000.0,17310772813994.973,23.575,84.325,843.0
2022,June,7,448610000.0,17310772813994.973,23.575,84.7,453.0
2022,June,6,448610000.0,17310772813994.973,23.575,87.42,174.6
2022,June,5,448610000.0,17310772813994.973,23.575,87.77166666666666,156.5
2022,June,4,448610000.0,17310772813994.973,23.575,88.12333333333333,137.3
2022,June,3,448610000.0,17310772813994.973,23.575,88.475,188.1
2022,June,2,448610000.0,17310772813994.973,23.575,89.765,282.2
2022,June,1,448610000.0,17310772813994.973,23.575,89.795,276.3
2022,May,31,448308333.3333333,17273747469048.947,23.4925,95.79,522.6
2022,May,30,448308333.3333333,17273747469048.947,23.4925,94.885,666.4
2022,May,29,448308333.3333333,17273747469048.947,23.4925,93.98,199.0
2022,May,28,448308333.3333333,17273747469048.947,23.4925,93.075,124.8
2022,May,27,448308333.3333333,17273747469048.947,23.4925,92.17,87.3
2022,May,26,448308333.3333333,17273747469048.947,23.4925,90.81,161.6
2022,May,25,448308333.3333333,17273747469048.947,23.4925,92.98,272.0
2022,May,24,448308333.3333333,17273747469048.947,23.4925,88.75,261.6
2022,May,23,448308333.3333333,17273747469048.947,23.4925,86.835,240.1
2022,May,22,448308333.3333333,17273747469048.947,23.4925,88.15166666666666,106.9
2022,May,21,448308333.3333333,17273747469048.947,23.4925,89.46833333333333,88.0
2022,May,20,448308333.3333333,17273747469048.947,23.4925,90.785,228.8
2022,May,19,448308333.3333333,17273747469048.947,23.4925,94.65,219.9
2022,May,18,448308333.3333333,17273747469048.947,23.4925,98.63,287.1
2022,May,17,448308333.3333333,17273747469048.947,23.4925,99.035,238.1
2022,May,16,448308333.3333333,17273747469048.947,23.4925,95.555,308.3
2022,May,15,448308333.3333333,17273747469048.947,23.4925,97.00166666666667,63.9
2022,May,14,448308333.3333333,17273747469048.947,23.4925,98.44833333333334,82.8
2022,May,13,448308333.3333333,17273747469048.947,23.4925,99.895,180.3
2022,May,12,448308333.3333333,17273747469048.947,23.4925,108.93,705.3
2022,May,11,448308333.3333333,17273747469048.947,23.4925,96.18,498.8
2022,May,10,448308333.3333333,17273747469048.947,23.4925,99.695,803.8
2022,May,9,448308333.3333333,17273747469048.947,23.4925,95.09,520.2
2022,May,8,448308333.3333333,17273747469048.947,23.4925,97.54,243.4
2022,May,7,448308333.3333333,17273747469048.947,23.4925,99.99,218.2
2022,May,6,448308333.3333333,17273747469048.947,23.4925,102.44,842.5
2022,May,5,448308333.3333333,17273747469048.947,23.4925,106.675,280.3
2022,May,4,448308333.3333333,17273747469048.947,23.4925,103.86,401.2
2022,May,3,448308333.3333333,17273747469048.947,23.4925,99.21,166.3
2022,May,2,448308333.3333333,17273747469048.947,23.4925,96.645,227.3
2022,May,1,448308333.3333333,17273747469048.947,23.4925,97.41833333333334,114.2
2022,April,30,448006666.6666667,17236722124102.922,23.41,98.19166666666666,154.8
2022,April,29,448006666.6666667,17236722124102.922,23.41,98.965,364.8
2022,April,28,448006666.6666667,17236722124102.922,23.41,99.03,390.6
2022,April,27,448006666.6666667,17236722124102.922,23.41,107.145,616.5
2022,April,26,448006666.6666667,17236722124102.922,23.41,102.065,698.1
2022,April,25,448006666.6666667,17236722124102.922,23.41,92.935,657.0
2022,April,24,448006666.6666667,17236722124102.922,23.41,93.655,206.3
2022,April,23,448006666.6666667,17236722124102.922,23.41,94.375,175.3
2022,April,22,448006666.6666667,17236722124102.922,23.41,95.095,364.7
2022,April,21,448006666.6666667,17236722124102.922,23.41,100.23,471.2
2022,April,20,448006666.6666667,17236722124102.922,23.41,94.18,644.6
2022,April,19,448006666.6666667,17236722124102.922,23.41,93.745,567.2
2022,April,18,448006666.6666667,17236722124102.922,23.41,95.775,180.5
2022,April,17,448006666.6666667,17236722124102.922,23.41,95.775,171.8
2022,April,16,448006666.6666667,17236722124102.922,23.41,95.775,178.7
2022,April,15,448006666.6666667,17236722124102.922,23.41,95.775,259.6
2022,April,14,448006666.6666667,17236722124102.922,23.41,95.775,388.5
2022,April,13,448006666.6666667,17236722124102.922,23.41,105.435,371.3
2022,April,12,448006666.6666667,17236722124102.922,23.41,102.885,546.4
2022,April,11,448006666.6666667,17236722124102.922,23.41,100.835,628.1
2022,April,10,448006666.6666667,17236722124102.922,23.41,102.02833333333334,517.6
2022,April,9,448006666.6666667,17236722124102.922,23.41,103.22166666666666,506.5
2022,April,8,448006666.6666667,17236722124102.922,23.41,104.415,629.0
2022,April,7,448006666.6666667,17236722124102.922,23.41,105.11,371.0
2022,April,6,448006666.6666667,17236722124102.922,23.41,107.365,671.6
2022,April,5,448006666.6666667,17236722124102.922,23.41,108.64,1338.4
2022,April,4,448006666.6666667,17236722124102.922,23.41,109.335,1945.7
2022,April,3,448006666.6666667,17236722124102.922,23.41,110.11999999999999,1694.7
2022,April,2,448006666.6666667,17236722124102.922,23.41,110.905,1643.6
2022,April,1,448006666.6666667,17236722124102.922,23.41,111.69,2189.1
2022,March,31,447705000.0,17199696779156.898,23.3275,124.85,1976.8
2022,March,30,447705000.0,17199696779156.898,23.3275,118.8,1708.6
2022,March,29,447705000.0,17199696779156.898,23.3275,108.845,1424.2
2022,March,28,447705000.0,17199696779156.898,23.3275,103.645,1410.0
2022,March,27,447705000.0,17199696779156.898,23.3275,103.19,892.4
2022,March,26,447705000.0,17199696779156.898,23.3275,102.735,1045.4
2022,March,25,447705000.0,17199696779156.898,23.3275,102.28,1468.8
2022,March,24,447705000.0,17199696779156.898,23.3275,111.805,1490.3
2022,March,23,447705000.0,17199696779156.898,23.3275,116.98,1677.2
2022,March,22,447705000.0,17199696779156.898,23.3275,99.315,1840.5
2022,March,21,447705000.0,17199696779156.898,23.3275,96.385,2419.7
2022,March,20,447705000.0,17199696779156.898,23.3275,99.16666666666667,1920.1
2022,March,19,447705000.0,17199696779156.898,23.3275,101.94833333333334,1672.0
2022,March,18,447705000.0,17199696779156.898,23.3275,104.73,2587.0
2022,March,17,447705000.0,17199696779156.898,23.3275,104.355,2562.2
2022,March,16,447705000.0,17199696779156.898,23.3275,101.965,2528.8
2022,March,15,447705000.0,17199696779156.898,23.3275,114.24,2596.2
2022,March,14,447705000.0,17199696779156.898,23.3275,113.49,2647.0
2022,March,13,447705000.0,17199696779156.898,23.3275,118.32333333333332,1821.0
2022,March,12,447705000.0,17199696779156.898,23.3275,123.15666666666667,1966.0
2022,March,11,447705000.0,17199696779156.898,23.3275,127.99,2609.5
2022,March,10,447705000.0,17199696779156.898,23.3275,122.41,2815.3
2022,March,9,447705000.0,17199696779156.898,23.3275,147.785,3383.4
2022,March,8,447705000.0,17199696779156.898,23.3275,199.98,4106.0
2022,March,7,447705000.0,17199696779156.898,23.3275,210.805,4815.6
2022,March,6,447705000.0,17199696779156.898,23.3275,201.90833333333333,3207.5
2022,March,5,447705000.0,17199696779156.898,23.3275,193.01166666666668,2992.5
2022,March,4,447705000.0,17199696779156.898,23.3275,184.115,3762.8
2022,March,3,447705000.0,17199696779156.898,23.3275,154.72,3974.7
2022,March,2,447705000.0,17199696779156.898,23.3275,161.365,4293.1
2022,March,1,447705000.0,17199696779156.898,23.3275,118.93,4507.0
2022,February,28,447403333.3333333,17162671434210.873,23.244999999999997,96.11,4422.7
2022,February,27,447403333.3333333,17162671434210.873,23.244999999999997,94.64333333333333,2703.1
2022,February,26,447403333.3333333,17162671434210.873,23.244999999999997,93.17666666666666,2649.8
2022,February,25,447403333.3333333,17162671434210.873,23.244999999999997,91.71,3275.2
2022,February,24,447403333.3333333,17162671434210.873,23.244999999999997,130.665,3272.9
2022,February,23,447403333.3333333,17162671434210.873,23.244999999999997,87.76,3571.5
2022,February,22,447403333.3333333,17162671434210.873,23.244999999999997,78.91,4084.8
2022,February,21,447403333.3333333,17162671434210.873,23.244999999999997,73.18,4013.2
2022,February,20,447403333.3333333,17162671434210.873,23.244999999999997,72.875,2784.5
2022,February,19,447403333.3333333,17162671434210.873,23.244999999999997,72.57000000000001,3207.8
2022,February,18,447403333.3333333,17162671434210.873,23.244999999999997,72.265,3259.8
2022,February,17,447403333.3333333,17162671434210.873,23.244999999999997,73.41,3350.3
2022,February,16,447403333.3333333,17162671434210.873,23.244999999999997,68.465,3939.5
2022,February,15,447403333.3333333,17162671434210.873,23.244999999999997,69.33,4337.9
2022,February,14,447403333.3333333,17162671434210.873,23.244999999999997,78.925,4593.3
2022,February,13,447403333.3333333,17162671434210.873,23.244999999999997,77.92,3718.3
2022,February,12,447403333.3333333,17162671434210.873,23.244999999999997,76.91499999999999,4270.2
2022,February,11,447403333.3333333,17162671434210.873,23.244999999999997,75.91,5128.5
2022,February,10,447403333.3333333,17162671434210.873,23.244999999999997,72.52,5059.5
2022,February,9,447403333.3333333,17162671434210.873,23.244999999999997,72.265,4500.8
2022,February,8,447403333.3333333,17162671434210.873,23.244999999999997,75.69,4430.8
2022,February,7,447403333.3333333,17162671434210.873,23.244999999999997,77.825,4675.5
2022,February,6,447403333.3333333,17162671434210.873,23.244999999999997,78.68333333333334,3073.9
2022,February,5,447403333.3333333,17162671434210.873,23.244999999999997,79.54166666666667,3301.4
2022,February,4,447403333.3333333,17162671434210.873,23.244999999999997,80.4,4350.1
2022,February,3,447403333.3333333,17162671434210.873,23.244999999999997,77.24,5002.7
2022,February,2,447403333.3333333,17162671434210.873,23.244999999999997,74.185,5123.6
2022,February,1,447403333.3333333,17162671434210.873,23.244999999999997,71.955,5305.0
2022,January,31,447101666.6666667,17125646089264.85,23.162499999999998,80.555,6365.2
2022,January,30,447101666.6666667,17125646089264.85,23.162499999999998,83.185,4403.1
2022,January,29,447101666.6666667,17125646089264.85,23.162499999999998,85.815,4594.0
2022,January,28,447101666.6666667,17125646089264.85,23.162499999999998,88.445,6430.7
2022,January,27,447101666.6666667,17125646089264.85,23.162499999999998,88.75,6795.5
2022,January,26,447101666.6666667,17125646089264.85,23.162499999999998,86.055,7819.4
2022,January,25,447101666.6666667,17125646089264.85,23.162499999999998,84.11,8184.6
2022,January,24,447101666.6666667,17125646089264.85,23.162499999999998,81.76,7915.7
2022,January,23,447101666.6666667,17125646089264.85,23.162499999999998,77.55366666666667,6254.3
2022,January,22,447101666.6666667,17125646089264.85,23.162499999999998,73.34733333333334,6661.0
2022,January,21,447101666.6666667,17125646089264.85,23.162499999999998,69.141,7817.8
2022,January,20,447101666.6666667,17125646089264.85,23.162499999999998,64.945,7396.8
2022,January,19,447101666.6666667,17125646089264.85,23.162499999999998,62.43,7333.0
2022,January,18,447101666.6666667,17125646089264.85,23.162499999999998,64.985,7844.2
2022,January,17,447101666.6666667,17125646089264.85,23.162499999999998,67.43,7351.8
2022,January,16,447101666.6666667,17125646089264.85,23.162499999999998,67.77833333333334,5947.3
2022,January,15,447101666.6666667,17125646089264.85,23.162499999999998,68.12666666666667,6558.3
2022,January,14,447101666.6666667,17125646089264.85,23.162499999999998,68.475,8011.3
2022,January,13,447101666.6666667,17125646089264.85,23.162499999999998,65.71,8108.6
2022,January,12,447101666.6666667,17125646089264.85,23.162499999999998,65.185,8644.6
2022,January,11,447101666.6666667,17125646089264.85,23.162499999999998,71.565,8294.6
2022,January,10,447101666.6666667,17125646089264.85,23.162499999999998,77.685,7850.1
2022,January,9,447101666.6666667,17125646089264.85,23.162499999999998,78.31,5139.7
2022,January,8,447101666.6666667,17125646089264.85,23.162499999999998,78.935,5135.2
2022,January,7,447101666.6666667,17125646089264.85,23.162499999999998,79.56,6109.0
2022,January,6,447101666.6666667,17125646089264.85,23.162499999999998,86.56,5712.3
2022,January,5,447101666.6666667,17125646089264.85,23.162499999999998,82.94,4843.6
2022,January,4,447101666.6666667,17125646089264.85,23.162499999999998,80.53,3961.6
2022,January,3,447101666.6666667,17125646089264.85,23.162499999999998,72.61,3188.2
2022,January,2,447101666.6666667,17125646089264.85,23.162499999999998,71.855,2377.0
2022,January,1,447101666.6666667,17125646089264.85,23.162499999999998,71.1,1898.4
