,day,month,month_no,year,Gas supply by Russia,Gas Consumption,price,inflation rate
1,1,January,1,2018,177.5,3118.4,10.16,1.3
2,2,January,1,2018,176.3,4055.6,19.32,1.3
3,3,January,1,2018,175.1,4470.1,19.32,1.3
4,4,January,1,2018,175.5,4203.2,19.2,1.3
5,5,January,1,2018,176.2,4190.7,18.91,1.3
6,6,January,1,2018,177.0,3495.0,18.956666666666667,1.3
7,7,January,1,2018,175.5,4479.7,19.003333333333334,1.3
8,8,January,1,2018,178.8,6883.5,19.05,1.3
9,9,January,1,2018,179.7,6606.9,19.435,1.3
10,10,January,1,2018,179.8,6387.4,19.32,1.3
11,11,January,1,2018,182.2,6481.6,19.32,1.3
12,12,January,1,2018,182.4,6375.9,19.805,1.3
13,13,January,1,2018,180.8,5658.8,19.57875,1.3
14,14,January,1,2018,179.3,6015.0,19.3525,1.3
15,15,January,1,2018,179.3,7404.3,19.12625,1.3
16,16,January,1,2018,178.3,7093.8,18.9,1.3
17,17,January,1,2018,178.5,7655.5,18.44,1.3
18,18,January,1,2018,178.4,7517.5,18.35,1.3
19,19,January,1,2018,182.2,7663.7,18.19,1.3
20,20,January,1,2018,183.3,6336.7,18.308333333333334,1.3
21,21,January,1,2018,182.7,5594.4,18.42666666666667,1.3
22,22,January,1,2018,180.3,6850.0,18.545,1.3
23,23,January,1,2018,178.7,5925.8,18.2,1.3
24,24,January,1,2018,180.6,5148.7,17.79,1.3
25,25,January,1,2018,180.3,6223.1,17.78,1.3
26,26,January,1,2018,178.6,6441.4,17.78,1.3
27,27,January,1,2018,176.4,4695.2,17.651666666666667,1.3
28,28,January,1,2018,175.9,3926.1,17.523333333333333,1.3
29,29,January,1,2018,177.2,5136.8,17.395,1.3
30,30,January,1,2018,179.1,6014.3,17.41,1.3
31,31,January,1,2018,177.9,5919.9,17.88,1.3
32,1,February,2,2018,177.2,6344.8,18.15,1.1
33,2,February,2,2018,179.4,6576.9,18.16,1.1
34,3,February,2,2018,181.7,5879.6,17.97,1.1
35,4,February,2,2018,181.1,6263.5,17.78,1.1
36,5,February,2,2018,180.9,9005.7,17.59,1.1
37,6,February,2,2018,181.0,9763.0,17.88,1.1
38,7,February,2,2018,181.2,9775.4,18.16,1.1
39,8,February,2,2018,180.7,9439.9,17.74,1.1
40,9,February,2,2018,180.0,8666.2,17.9,1.1
41,10,February,2,2018,177.9,6165.8,17.916666666666664,1.1
42,11,February,2,2018,178.5,5609.5,17.933333333333334,1.1
43,12,February,2,2018,180.9,7859.7,17.95,1.1
44,13,February,2,2018,179.0,8122.2,18.305,1.1
45,14,February,2,2018,179.6,7677.6,18.07,1.1
46,15,February,2,2018,177.7,7287.0,17.79,1.1
47,16,February,2,2018,178.5,6639.2,18.16,1.1
48,17,February,2,2018,180.1,5737.0,18.5625,1.1
49,18,February,2,2018,180.6,5707.8,18.965,1.1
50,19,February,2,2018,176.3,7820.9,19.3675,1.1
51,20,February,2,2018,180.1,7909.2,19.77,1.1
52,21,February,2,2018,180.9,8407.1,19.78,1.1
53,22,February,2,2018,183.7,8746.7,19.94,1.1
54,23,February,2,2018,184.9,8783.0,20.41,1.1
55,24,February,2,2018,186.4,7758.1,19.836666666666666,1.1
56,25,February,2,2018,187.2,8395.1,19.263333333333335,1.1
57,26,February,2,2018,185.2,10971.2,18.69,1.1
58,27,February,2,2018,184.4,11299.8,19.195,1.1
59,28,February,2,2018,179.7,11821.6,17.35,1.1
60,1,March,3,2018,180.6,11288.6,17.56,1.4
61,2,March,3,2018,183.8,10177.5,17.805,1.4
62,3,March,3,2018,182.2,7966.6,17.71,1.4
63,4,March,3,2018,181.7,6375.2,17.615,1.4
64,5,March,3,2018,181.5,6347.5,17.52,1.4
65,6,March,3,2018,181.4,6005.4,17.7,1.4
66,7,March,3,2018,180.8,5624.3,17.83,1.4
67,8,March,3,2018,180.4,5049.5,18.315,1.4
68,9,March,3,2018,179.4,4176.5,18.94,1.4
69,10,March,3,2018,178.5,2596.2,19.19666666666667,1.4
70,11,March,3,2018,178.3,2042.2,19.453333333333333,1.4
71,12,March,3,2018,180.1,3096.0,19.71,1.4
72,13,March,3,2018,178.8,3719.9,19.46,1.4
73,14,March,3,2018,179.6,3836.5,18.61,1.4
74,15,March,3,2018,178.8,3782.0,18.8,1.4
75,16,March,3,2018,179.2,3823.8,18.66,1.4
76,17,March,3,2018,172.4,4163.0,18.673333333333332,1.4
77,18,March,3,2018,178.4,5204.4,18.686666666666667,1.4
78,19,March,3,2018,180.8,6474.1,18.7,1.4
79,20,March,3,2018,181.7,6016.9,19.18,1.4
80,21,March,3,2018,182.4,5721.2,19.39,1.4
81,22,March,3,2018,178.1,5075.8,19.01,1.4
82,23,March,3,2018,179.9,4156.3,18.45,1.4
83,24,March,3,2018,176.0,2553.4,18.296666666666667,1.4
84,25,March,3,2018,176.6,1923.9,18.14333333333333,1.4
85,26,March,3,2018,176.5,2983.9,17.99,1.4
86,27,March,3,2018,176.2,3236.0,18.5,1.4
87,28,March,3,2018,177.0,2875.7,18.37,1.4
88,29,March,3,2018,176.5,2438.5,18.225,1.4
89,30,March,3,2018,178.1,1871.8,18.22625,1.4
90,31,March,3,2018,178.1,1570.3,18.2275,1.4
91,1,April,4,2018,180.4,1307.4,18.22875,1.2
92,2,April,4,2018,178.9,974.9,18.23,1.2
93,3,April,4,2018,180.1,662.2,18.04,1.2
94,4,April,4,2018,177.7,504.0,18.185,1.2
95,5,April,4,2018,173.4,1078.9,18.13,1.2
96,6,April,4,2018,171.9,644.5,18.18,1.2
97,7,April,4,2018,170.3,380.0,18.335,1.2
98,8,April,4,2018,170.1,260.7,18.49,1.2
99,9,April,4,2018,173.4,501.8,18.645,1.2
100,10,April,4,2018,173.2,631.5,18.84,1.2
101,11,April,4,2018,172.4,642.7,19.255,1.2
102,12,April,4,2018,175.8,983.1,19.21,1.2
103,13,April,4,2018,175.0,556.9,19.57,1.2
104,14,April,4,2018,173.7,214.9,19.496666666666666,1.2
105,15,April,4,2018,171.5,139.5,19.423333333333336,1.2
106,16,April,4,2018,174.0,316.8,19.35,1.2
107,17,April,4,2018,173.0,231.4,19.015,1.2
108,18,April,4,2018,173.5,163.2,19.31,1.2
109,19,April,4,2018,172.5,188.6,19.86,1.2
110,20,April,4,2018,173.1,187.6,19.8,1.2
111,21,April,4,2018,172.4,168.4,19.830000000000002,1.2
112,22,April,4,2018,171.5,143.6,19.86,1.2
113,23,April,4,2018,171.8,131.9,19.89,1.2
114,24,April,4,2018,173.2,178.0,19.68,1.2
115,25,April,4,2018,172.6,170.5,19.88,1.2
116,26,April,4,2018,173.7,153.4,20.15,1.2
117,27,April,4,2018,173.9,363.9,20.27,1.2
118,28,April,4,2018,172.9,213.2,20.366666666666667,1.2
119,29,April,4,2018,172.9,205.2,20.46333333333333,1.2
120,30,April,4,2018,172.1,720.1,20.56,1.2
121,1,May,5,2018,172.1,349.0,20.095,2.0
122,2,May,5,2018,171.7,748.6,19.86,2.0
123,3,May,5,2018,172.1,734.0,19.95,2.0
124,4,May,5,2018,172.0,564.8,20.42,2.0
125,5,May,5,2018,172.8,328.6,20.42,2.0
126,6,May,5,2018,172.6,286.2,20.42,2.0
127,7,May,5,2018,172.3,225.1,20.42,2.0
128,8,May,5,2018,172.6,287.6,20.6,2.0
129,9,May,5,2018,172.3,292.6,20.84,2.0
130,10,May,5,2018,171.8,159.2,21.005,2.0
131,11,May,5,2018,172.2,229.0,21.27,2.0
132,12,May,5,2018,166.8,205.8,21.388333333333332,2.0
133,13,May,5,2018,172.2,165.0,21.506666666666668,2.0
134,14,May,5,2018,166.2,407.0,21.625,2.0
135,15,May,5,2018,172.2,383.2,21.54,2.0
136,16,May,5,2018,170.9,344.7,21.67,2.0
137,17,May,5,2018,170.0,403.7,22.3,2.0
138,18,May,5,2018,170.1,417.3,22.055,2.0
139,19,May,5,2018,172.4,236.9,22.161666666666665,2.0
140,20,May,5,2018,172.6,119.6,22.268333333333334,2.0
141,21,May,5,2018,173.1,163.3,22.375,2.0
142,22,May,5,2018,172.2,178.4,22.905,2.0
143,23,May,5,2018,174.4,192.1,22.71,2.0
144,24,May,5,2018,174.3,745.0,22.7,2.0
145,25,May,5,2018,173.1,365.8,21.8,2.0
146,26,May,5,2018,172.4,86.9,22.015,2.0
147,27,May,5,2018,173.0,94.8,22.23,2.0
148,28,May,5,2018,172.5,316.1,22.445,2.0
149,29,May,5,2018,172.6,289.4,22.66,2.0
150,30,May,5,2018,172.4,548.9,22.98,2.0
151,31,May,5,2018,168.7,579.0,22.58,2.0
152,1,June,6,2018,176.3,719.9,21.77,2.0
153,2,June,6,2018,170.3,175.2,21.816666666666666,2.0
154,3,June,6,2018,171.7,126.6,21.863333333333333,2.0
155,4,June,6,2018,174.5,279.4,21.91,2.0
156,5,June,6,2018,174.5,403.4,21.43,2.0
157,6,June,6,2018,175.2,273.6,21.32,2.0
158,7,June,6,2018,174.4,283.8,21.66,2.0
159,8,June,6,2018,173.8,354.6,21.54,2.0
160,9,June,6,2018,172.6,117.4,21.476666666666667,2.0
161,10,June,6,2018,171.9,88.5,21.413333333333334,2.0
162,11,June,6,2018,171.7,176.5,21.35,2.0
163,12,June,6,2018,172.9,466.6,21.79,2.0
164,13,June,6,2018,173.2,243.1,22.38,2.0
165,14,June,6,2018,173.0,223.1,22.36,2.0
166,15,June,6,2018,172.8,236.2,21.75,2.0
167,16,June,6,2018,169.2,84.8,21.88,2.0
168,17,June,6,2018,167.2,92.2,22.01,2.0
169,18,June,6,2018,169.0,203.1,22.14,2.0
170,19,June,6,2018,170.1,311.6,21.7,2.0
171,20,June,6,2018,174.9,250.6,21.5,2.0
172,21,June,6,2018,176.4,244.3,21.55,2.0
173,22,June,6,2018,175.9,143.2,21.66,2.0
174,23,June,6,2018,178.7,141.8,21.623333333333335,2.0
175,24,June,6,2018,178.7,142.5,21.586666666666666,2.0
176,25,June,6,2018,180.6,244.4,21.55,2.0
177,26,June,6,2018,172.9,223.7,21.495,2.0
178,27,June,6,2018,171.9,346.2,22.035,2.0
179,28,June,6,2018,171.3,503.4,21.96,2.0
180,29,June,6,2018,174.1,423.3,21.875,2.0
181,30,June,6,2018,171.4,216.3,21.996666666666666,2.0
182,1,July,7,2018,171.8,240.1,22.118333333333332,2.2
183,2,July,7,2018,175.0,350.8,22.24,2.2
184,3,July,7,2018,173.8,269.3,22.26,2.2
185,4,July,7,2018,174.9,314.6,22.36,2.2
186,5,July,7,2018,177.7,304.3,22.46,2.2
187,6,July,7,2018,175.3,235.0,22.36,2.2
188,7,July,7,2018,159.7,186.0,22.483333333333334,2.2
189,8,July,7,2018,180.2,200.4,22.606666666666666,2.2
190,9,July,7,2018,177.3,188.9,22.73,2.2
191,10,July,7,2018,186.0,205.9,22.73,2.2
192,11,July,7,2018,182.2,205.6,22.58,2.2
193,12,July,7,2018,180.9,365.1,21.97,2.2
194,13,July,7,2018,179.1,337.7,22.27,2.2
195,14,July,7,2018,178.4,113.3,22.186666666666667,2.2
196,15,July,7,2018,177.0,109.0,22.10333333333333,2.2
197,16,July,7,2018,167.2,302.0,22.02,2.2
198,17,July,7,2018,12.9,413.9,21.85,2.2
199,18,July,7,2018,18.5,564.6,22.14,2.2
200,19,July,7,2018,19.0,642.6,22.16,2.2
201,20,July,7,2018,18.8,369.7,21.875,2.2
202,21,July,7,2018,18.5,150.2,21.926666666666666,2.2
203,22,July,7,2018,18.6,178.1,21.978333333333335,2.2
204,23,July,7,2018,19.2,340.1,22.03,2.2
205,24,July,7,2018,19.2,534.4,22.095,2.2
206,25,July,7,2018,19.3,428.1,22.17,2.2
207,26,July,7,2018,19.2,424.9,22.115,2.2
208,27,July,7,2018,19.3,409.7,21.89,2.2
209,28,July,7,2018,19.8,319.4,21.946666666666665,2.2
210,29,July,7,2018,23.5,236.0,22.003333333333334,2.2
211,30,July,7,2018,171.6,365.6,22.06,2.2
212,31,July,7,2018,181.6,337.8,22.11,2.2
213,1,August,8,2018,183.0,308.5,21.93,2.1
214,2,August,8,2018,186.8,391.3,21.93,2.1
215,3,August,8,2018,190.4,501.5,22.26,2.1
216,4,August,8,2018,190.5,235.8,22.34,2.1
217,5,August,8,2018,190.4,202.6,22.42,2.1
218,6,August,8,2018,186.5,238.1,22.5,2.1
219,7,August,8,2018,188.8,240.8,22.61,2.1
220,8,August,8,2018,187.0,245.7,22.6,2.1
221,9,August,8,2018,185.1,223.6,22.71,2.1
222,10,August,8,2018,184.4,224.0,22.88,2.1
223,11,August,8,2018,187.2,113.9,23.086666666666666,2.1
224,12,August,8,2018,188.5,135.6,23.293333333333333,2.1
225,13,August,8,2018,188.9,260.0,23.5,2.1
226,14,August,8,2018,187.0,188.4,23.73,2.1
227,15,August,8,2018,186.7,98.5,23.52,2.1
228,16,August,8,2018,185.7,127.1,23.84,2.1
229,17,August,8,2018,182.9,194.6,24.155,2.1
230,18,August,8,2018,183.6,129.9,24.163333333333334,2.1
231,19,August,8,2018,184.8,125.7,24.171666666666667,2.1
232,20,August,8,2018,185.1,508.8,24.18,2.1
233,21,August,8,2018,183.9,456.9,24.405,2.1
234,22,August,8,2018,179.9,333.3,24.45,2.1
235,23,August,8,2018,182.4,400.0,24.76,2.1
236,24,August,8,2018,180.7,357.6,24.98,2.1
237,25,August,8,2018,184.7,245.9,25.123333333333335,2.1
238,26,August,8,2018,185.2,182.1,25.266666666666666,2.1
239,27,August,8,2018,184.4,304.6,25.41,2.1
240,28,August,8,2018,183.5,602.3,25.36,2.1
241,29,August,8,2018,184.2,603.6,25.87,2.1
242,30,August,8,2018,183.3,592.5,26.13,2.1
243,31,August,8,2018,183.2,459.5,25.84,2.1
244,1,September,9,2018,187.7,158.0,26.0575,2.1
245,2,September,9,2018,187.9,103.3,26.275,2.1
246,3,September,9,2018,190.5,671.7,26.4925,2.1
247,4,September,9,2018,190.3,511.5,26.71,2.1
248,5,September,9,2018,189.7,518.6,27.02,2.1
249,6,September,9,2018,182.7,585.5,27.455,2.1
250,7,September,9,2018,187.2,418.9,27.99,2.1
251,8,September,9,2018,181.6,318.9,28.368333333333332,2.1
252,9,September,9,2018,183.6,163.9,28.746666666666666,2.1
253,10,September,9,2018,185.4,379.9,29.125,2.1
254,11,September,9,2018,191.8,357.3,28.78,2.1
255,12,September,9,2018,190.2,594.3,27.495,2.1
256,13,September,9,2018,183.7,545.7,26.81,2.1
257,14,September,9,2018,194.2,356.4,26.93,2.1
258,15,September,9,2018,196.6,206.7,27.31,2.1
259,16,September,9,2018,191.7,153.1,27.69,2.1
260,17,September,9,2018,190.1,301.9,28.07,2.1
261,18,September,9,2018,189.9,222.6,27.41,2.1
262,19,September,9,2018,189.4,271.9,28.32,2.1
263,20,September,9,2018,188.7,332.5,28.59,2.1
264,21,September,9,2018,189.2,360.8,28.73,2.1
265,22,September,9,2018,187.4,369.5,28.901666666666667,2.1
266,23,September,9,2018,188.8,375.8,29.073333333333334,2.1
267,24,September,9,2018,189.7,775.2,29.245,2.1
268,25,September,9,2018,189.7,613.6,29.23,2.1
269,26,September,9,2018,182.7,524.0,28.26,2.1
270,27,September,9,2018,181.9,384.3,27.57,2.1
271,28,September,9,2018,183.1,468.6,27.33,2.1
272,29,September,9,2018,186.8,270.9,27.369999999999997,2.1
273,30,September,9,2018,189.6,227.8,27.41,2.1
274,1,October,10,2018,191.3,382.7,27.45,2.3
275,2,October,10,2018,190.2,338.9,27.255,2.3
276,3,October,10,2018,190.2,277.7,27.115,2.3
277,4,October,10,2018,187.8,310.6,27.47,2.3
278,5,October,10,2018,186.6,394.5,27.9,2.3
279,6,October,10,2018,188.4,190.5,27.673333333333332,2.3
280,7,October,10,2018,190.5,133.8,27.446666666666665,2.3
281,8,October,10,2018,192.6,328.8,27.22,2.3
282,9,October,10,2018,189.3,324.4,26.835,2.3
283,10,October,10,2018,187.3,210.1,26.22,2.3
284,11,October,10,2018,177.7,192.7,25.76,2.3
285,12,October,10,2018,176.0,179.8,26.63,2.3
286,13,October,10,2018,174.8,126.4,26.628333333333334,2.3
287,14,October,10,2018,176.1,138.1,26.626666666666665,2.3
288,15,October,10,2018,175.9,201.2,26.625,2.3
289,16,October,10,2018,174.8,199.9,26.33,2.3
290,17,October,10,2018,178.1,213.1,25.94,2.3
291,18,October,10,2018,177.0,523.9,26.025,2.3
292,19,October,10,2018,176.9,332.7,26.86,2.3
293,20,October,10,2018,176.6,193.8,26.61,2.3
294,21,October,10,2018,177.9,195.2,26.36,2.3
295,22,October,10,2018,179.1,437.0,26.11,2.3
296,23,October,10,2018,178.0,385.1,25.66,2.3
297,24,October,10,2018,178.2,703.2,25.26,2.3
298,25,October,10,2018,176.8,676.4,24.86,2.3
299,26,October,10,2018,172.9,645.3,24.28,2.3
300,27,October,10,2018,176.5,537.2,24.38,2.3
301,28,October,10,2018,178.4,977.7,24.48,2.3
302,29,October,10,2018,178.3,2156.4,24.58,2.3
303,30,October,10,2018,178.7,2036.1,23.88,2.3
304,31,October,10,2018,178.4,1918.3,24.335,2.3
305,1,November,11,2018,179.8,1093.0,23.65,1.9
306,2,November,11,2018,179.9,906.7,24.29,1.9
307,3,November,11,2018,179.2,826.9,24.13,1.9
308,4,November,11,2018,178.9,748.5,23.97,1.9
309,5,November,11,2018,177.6,811.0,23.81,1.9
310,6,November,11,2018,173.4,997.7,23.895,1.9
311,7,November,11,2018,173.2,1089.5,24.42,1.9
312,8,November,11,2018,176.3,2035.8,24.43,1.9
313,9,November,11,2018,175.7,969.1,24.32,1.9
314,10,November,11,2018,175.1,776.7,24.863333333333333,1.9
315,11,November,11,2018,175.1,639.9,25.406666666666666,1.9
316,12,November,11,2018,176.3,1383.6,25.95,1.9
317,13,November,11,2018,176.0,1425.7,26.52,1.9
318,14,November,11,2018,175.0,1694.0,26.28,1.9
319,15,November,11,2018,175.7,2204.1,26.675,1.9
320,16,November,11,2018,169.4,3062.1,25.95,1.9
321,17,November,11,2018,115.8,2880.5,25.349999999999998,1.9
322,18,November,11,2018,168.8,3005.9,24.75,1.9
323,19,November,11,2018,179.1,4804.0,24.15,1.9
324,20,November,11,2018,181.4,5691.9,24.35,1.9
325,21,November,11,2018,183.0,5846.1,24.5,1.9
326,22,November,11,2018,180.3,5977.5,24.66,1.9
327,23,November,11,2018,179.2,5297.4,24.82,1.9
328,24,November,11,2018,180.4,3780.9,24.73,1.9
329,25,November,11,2018,179.7,3410.1,24.64,1.9
330,26,November,11,2018,177.8,4851.6,24.55,1.9
331,27,November,11,2018,175.1,5239.6,25.16,1.9
332,28,November,11,2018,176.5,4559.3,24.3,1.9
333,29,November,11,2018,178.6,4165.4,24.64,1.9
334,30,November,11,2018,179.0,4175.9,24.69,1.9
335,1,December,12,2018,177.9,3625.4,24.823333333333334,1.5
336,2,December,12,2018,179.3,2716.5,24.956666666666667,1.5
337,3,December,12,2018,177.4,3174.9,25.09,1.5
338,4,December,12,2018,185.5,4105.8,24.415,1.5
339,5,December,12,2018,185.3,4559.1,23.82,1.5
340,6,December,12,2018,185.0,3652.7,23.165,1.5
341,7,December,12,2018,183.4,3231.9,23.14,1.5
342,8,December,12,2018,182.2,2472.1,23.176666666666666,1.5
343,9,December,12,2018,180.9,2433.3,23.213333333333335,1.5
344,10,December,12,2018,181.0,4764.4,23.25,1.5
345,11,December,12,2018,180.9,5592.6,23.62,1.5
346,12,December,12,2018,181.1,6585.1,23.92,1.5
347,13,December,12,2018,180.6,7049.9,24.225,1.5
348,14,December,12,2018,183.2,7525.2,24.645,1.5
349,15,December,12,2018,179.8,6219.0,24.656666666666666,1.5
350,16,December,12,2018,182.4,6001.4,24.668333333333333,1.5
351,17,December,12,2018,182.7,6659.4,24.68,1.5
352,18,December,12,2018,183.2,6518.1,23.73,1.5
353,19,December,12,2018,183.8,6013.3,24.21,1.5
354,20,December,12,2018,183.8,5594.4,24.605,1.5
355,21,December,12,2018,180.4,4151.4,24.9,1.5
356,22,December,12,2018,179.1,2978.0,24.683333333333334,1.5
357,23,December,12,2018,179.3,2913.7,24.466666666666665,1.5
358,24,December,12,2018,180.9,3150.4,24.25,1.5
359,25,December,12,2018,179.7,3256.3,24.247500000000002,1.5
360,26,December,12,2018,176.9,3873.2,24.245,1.5
361,27,December,12,2018,177.1,4718.2,23.32,1.5
362,28,December,12,2018,178.4,4495.8,22.81,1.5
363,29,December,12,2018,177.7,3104.7,22.53333333333333,1.5
364,30,December,12,2018,178.2,2505.3,22.256666666666668,1.5
365,31,December,12,2018,179.0,2771.1,21.98,1.5
366,1,January,1,2019,178.3,2910.3,22.2275,1.4
367,2,January,1,2019,181.3,4991.5,22.475,1.4
368,3,January,1,2019,181.4,6481.0,22.25,1.4
369,4,January,1,2019,180.0,6540.3,22.93,1.4
